Time (s),PPG Value
2.499636,-0.2809
2.509492,-0.1262
2.520112,0.0018
2.53012,0.2017
2.540152,0.3771
2.550216,0.3383
2.560244,0.2548
2.570248,0.3714
2.580964,0.4747
2.591,0.4429
2.60104,0.1047
2.610868,-0.3562
2.620712,-0.472
2.63124,-0.5581
2.642636,-0.5006
2.652468,-0.398
2.662272,-0.3627
2.672108,-0.3218
2.68264,-0.33
2.69248,-0.376
2.702308,-0.3891
2.712152,-0.3831
2.721996,-0.3102
2.732528,-0.0901
2.742528,0.1623
2.753244,0.1897
2.76326,0.157
2.773276,0.0731
2.783992,0.0224
2.794016,0.0431
2.804024,0.0496
2.814048,0.0027
2.823888,-0.2149
2.834424,-0.459
2.84428,-0.6437
2.854116,-0.6693
2.863956,-0.6476
2.8738,-0.5642
2.88432,-0.4055
2.894164,-0.3026
2.903996,-0.2934
2.913844,-0.3017
2.923692,-0.3598
2.934196,-0.518
2.944028,-0.3836
2.953948,0.0355
2.963972,0.2516
2.974044,0.293
2.984736,0.2566
2.99476,0.1689
3.004788,0.0996
3.014812,0.0886
3.024792,-0.0033
3.035344,-0.1939
3.046748,-0.6329
3.056588,-0.8498
3.06642,-0.8918
3.076264,-0.6455
3.086772,-0.4354
3.096604,-0.3152
3.106456,-0.2315
3.1163,-0.2498
3.12614,-0.2634
3.13598,-0.274
3.146524,-0.1105
3.156508,0.1816
3.167216,0.2378
3.177208,0.2086
3.187216,0.1352
3.19792,0.1346
3.20794,0.0265
3.217772,-0.0355
3.227768,0.0813
3.237796,-0.0129
3.248328,-0.4029
3.258164,-0.9506
3.267996,-1.0
3.277792,-1.0
3.2876,-0.8825
3.298124,-0.5882
3.307968,-0.4918
3.317804,-0.5179
3.327652,-0.478
3.337472,-0.4375
3.348008,-0.3596
3.357868,-0.2435
3.367836,0.1877
3.377864,0.3795
3.38792,0.3696
3.398612,0.3402
3.408632,0.2679
3.418644,0.204
3.428664,0.2043
3.43868,0.1072
3.449264,-0.1161
3.460676,-0.4017
3.47052,-0.6083
3.48036,-0.8251
3.490208,-0.9126
3.500732,-0.7815
3.510576,-0.6346
3.520396,-0.574
3.530232,-0.4677
3.54008,-0.3779
3.549916,-0.3588
3.560468,-0.2686
3.570328,-0.3219
3.580168,-0.1996
3.59018,0.2539
3.600184,0.3943
3.611596,0.3388
3.621612,0.338
3.631616,0.2906
3.641628,0.1874
3.651664,0.1355
3.662336,-0.0371
3.672188,-0.2871
3.682028,-0.5356
3.691884,-0.6274
3.70172,-0.7814
3.71226,-0.9321
3.722104,-0.9825
3.73192,-0.9662
3.741772,-0.7794
3.751596,-0.5623
3.762124,-0.4039
3.77198,-0.2687
3.781824,-0.1591
3.791704,-0.1775
3.801612,0.0266
3.812316,0.3784
3.822332,0.4818
3.832396,0.4759
3.842428,0.3795
