Time (s),PPG Value
6.200856,-0.1985
6.210764,-0.1389
6.220656,-0.2131
6.229004,-0.201
6.238936,0.0202
6.249012,0.0525
6.259112,0.1103
6.269212,0.1466
6.279284,0.0844
6.2892,-0.1332
6.29908,-0.3172
6.308956,-0.3818
6.31886,-0.393
6.328724,-0.4536
6.3386,-0.5814
6.346924,-0.5565
6.356792,-0.4461
6.36672,-0.1326
6.37672,0.0056
6.386788,0.0585
6.39684,0.12
6.40692,0.0322
6.417016,0.1317
6.427268,0.1566
6.437308,0.1348
6.447388,0.1109
6.457464,0.0626
6.467552,0.0478
6.47758,0.0238
6.487504,-0.1181
6.49738,-0.407
6.50724,-0.7277
6.517148,-0.8372
6.52702,-0.8352
6.5369,-0.7035
6.54676,-0.5717
6.55506,-0.4204
6.56502,0.0443
6.575068,0.2882
6.585108,0.3768
6.595196,0.4185
6.605252,0.4728
6.615324,0.514
6.625368,0.5546
6.635412,0.5723
6.64546,0.5189
6.65552,0.306
6.6655,-0.2145
6.67538,-0.4127
6.685264,-0.6026
6.695156,-0.7241
6.70504,-0.8489
6.714908,-0.9022
6.723224,-0.8831
6.7331,-0.7183
6.742952,-0.5161
6.752832,-0.3365
6.762724,-0.1911
6.772632,-0.1887
6.782532,-0.212
6.790856,-0.2037
6.800728,-0.1761
6.810616,-0.1316
6.820528,-0.0508
6.830436,-0.0007
6.8405,0.0479
6.850548,0.0777
6.860612,0.1418
6.870848,0.1646
6.88094,0.1687
6.89098,0.1816
6.901024,0.1645
6.911076,0.0325
6.920952,-0.0907
6.930864,-0.1787
6.94074,-0.2656
6.950588,-0.3474
6.958884,-0.4562
6.968776,-0.5321
6.978684,-0.5556
6.988568,-0.5122
6.998452,-0.4279
7.008316,-0.3809
7.016628,-0.3764
7.026536,-0.3568
7.036412,-0.3412
7.0463,-0.2505
7.056184,-0.1931
7.066064,-0.1813
7.07438,-0.1755
7.084296,-0.1573
7.094184,-0.1815
7.104072,-0.1942
7.113968,-0.2241
7.12384,-0.1715
7.133736,-0.1313
7.142056,-0.0861
7.151948,-0.0722
7.16184,-0.081
7.17172,-0.1287
7.181636,-0.1494
7.191516,-0.144
7.19984,-0.1583
7.209716,-0.2272
7.219616,-0.1179
7.229512,-0.0147
7.2396,0.087
7.249652,0.1661
7.2597,0.2478
7.269912,0.2514
